Array Length,Merge Sort,Quicksort,Counting Sort,Radix Sort: $b=n$,QR Sort: $d=\sqrt{m}$
10000, 1259029900, 847307800, 290018800, 930049800, 551826800
20000, 2717869700, 1785892800, 430023000, 1860054000, 1101831000
30000, 4243543700, 2868920100, 570020600, 2790051600, 1651828600
40000, 5835863000, 3905156200, 710024000, 3720055000, 2201832000
50000, 7456934100, 5040911300, 850021400, 4650052400, 2751829400
60000, 9086813900, 5903161100, 990022000, 3000035000, 3301830000
70000, 10756101200, 7174395400, 1130024600, 3500037600, 3851832600
80000, 12471946000, 8127517800, 1270028000, 4000041000, 4401836000
90000, 14191914600, 9328825300, 1410026000, 4500039000, 4951834000
100000, 15914516700, 10165579200, 1550026800, 5000039800, 5501834800
110000, 17643468300, 11370709800, 1690025400, 5500038400, 6051833400
120000, 19374205200, 12712032000, 1830022200, 6000035200, 6601830200
130000, 21106049400, 13693067400, 1970026800, 6500039800, 7151834800
140000, 22911285400, 15074059900, 2110025200, 7000038200, 7701833200
150000, 24727151900, 15890786500, 2250025200, 7500038200, 8251833200
160000, 26543592600, 17244414500, 2390026000, 8000039000, 8801834000
170000, 28362818500, 18528832900, 2530024600, 8500037600, 9351832600
180000, 30183399000, 19986069900, 2670026600, 9000039600, 9901834600
190000, 32005034700, 21165178300, 2810023600, 9500036600, 10451831600
200000, 33828620900, 22159923400, 2950024600, 10000037600, 11001832600
210000, 35657925500, 23783593600, 3090025600, 10500038600, 11551833600
220000, 37486439900, 24312096000, 3230026400, 11000039400, 12101834400
230000, 39316580300, 25959747900, 3370026600, 11500039600, 12651834600
240000, 41148172900, 27063217500, 3510029200, 12000042200, 13201837200
250000, 42979613800, 28308139700, 3650023400, 12500036400, 13751831400
260000, 44811422300, 29254403100, 3790024000, 13000037000, 14301832000
270000, 46708551700, 31128788600, 3930028800, 13500041800, 14851836800
280000, 48623739300, 31873947500, 4070025400, 14000038400, 15401833400
290000, 50538435600, 34394756700, 4210028400, 14500041400, 15951836400
300000, 52454235200, 33980800600, 4350025400, 15000038400, 16501833400
310000, 54371418900, 36381675700, 4490027200, 15500040200, 17051835200
320000, 56287948700, 36810291100, 4630024600, 16000037600, 17601832600
330000, 58205553400, 38746535900, 4770026200, 16500039200, 18151834200
340000, 60125772000, 40136591700, 4910027200, 17000040200, 18701835200
350000, 62046508300, 41324615100, 5050029400, 17500042400, 19251837400
360000, 63966899100, 41746854200, 5190028000, 18000041000, 19801836000
370000, 65888026900, 44152953900, 5330025400, 18500038400, 20351833400
380000, 67809760900, 44713403700, 5470030800, 19000043800, 20901838800
390000, 69731850500, 46617354900, 5610024000, 19500037000, 21451832000
400000, 71658177600, 47654953700, 5750025600, 20000038600, 22001833600
410000, 73585759200, 48605997400, 5890026200, 20500039200, 22551834200
420000, 75515632600, 50353969900, 6030026800, 21000039800, 23101834800
430000, 77444787900, 51769088900, 6170025000, 21500038000, 23651833000
440000, 79373424300, 53282950100, 6310025000, 22000038000, 24201833000
450000, 81302047400, 56012126500, 6450025800, 22500038800, 24751833800
460000, 83232872900, 55682409900, 6590026600, 23000039600, 25301834600
470000, 85165452900, 57181354600, 6730023400, 23500036400, 25851831400
480000, 87096201400, 59132779700, 6870024600, 24000037600, 26401832600
490000, 89027573500, 60238348300, 7010027000, 24500040000, 26951835000
500000, 90959655600, 61797631100, 7150026000, 25000039000, 27501834000
510000, 92891899100, 63408081400, 7290022800, 25500035800, 28051830800
520000, 94823169000, 65276173300, 7430028600, 26000041600, 28601836600
530000, 96803447600, 65091906900, 7570025400, 26500038400, 29151833400
540000, 98817994300, 66725978100, 7710026000, 27000039000, 29701834000
550000, 100832785000, 69580946900, 7850026000, 27500039000, 30251834000
560000, 102846706100, 70492509100, 7990022000, 28000035000, 30801830000
570000, 104862495800, 71420127000, 8130026200, 28500039200, 31351834200
580000, 106877636500, 73086117400, 8270024200, 29000037200, 31901832200
590000, 108892574700, 75773343900, 8410023000, 29500036000, 32451831000
600000, 110909674400, 75408769100, 8550026400, 30000039400, 33001834400
610000, 112925913700, 78663261200, 8690029000, 30500042000, 33551837000
620000, 114941235400, 79460449700, 8830023600, 31000036600, 34101831600
630000, 116958326500, 80574277100, 8970025200, 31500038200, 34651833200
640000, 118976685900, 81863599900, 9110027600, 32000040600, 35201835600
650000, 120991506100, 82695748000, 9250026000, 32500039000, 35751834000
660000, 123010649200, 83365150700, 9390025600, 33000038600, 36301833600
670000, 125031487000, 86194360100, 9530023600, 33500036600, 36851831600
680000, 127051785900, 87202546500, 9670025400, 34000038400, 37401833400
690000, 129073636800, 89972288200, 9810024000, 34500037000, 37951832000
700000, 131093119000, 90566690300, 9950029400, 35000042400, 38501837400
710000, 133112788900, 93955848500, 10090024600, 35500037600, 39051832600
720000, 135134425100, 93254462400, 10230027800, 36000040800, 39601835800
730000, 137155155900, 96586251600, 10370028200, 36500041200, 40151836200
740000, 139176529900, 97216689800, 10510029200, 37000042200, 40701837200
750000, 141197241700, 99673467300, 10650027000, 37500040000, 41251835000
760000, 143220225400, 100159908700, 10790026400, 38000039400, 41801834400
770000, 145240086900, 100553846400, 10930027000, 38500040000, 42351835000
780000, 147262502300, 103238266300, 11070024400, 39000037400, 42901832400
790000, 149286059000, 105570622000, 11210028800, 39500041800, 43451836800
800000, 151315762900, 108672355500, 11350025800, 40000038800, 44001833800
810000, 153344407500, 108048600500, 11490025200, 40500038200, 44551833200
820000, 155373423500, 110730992000, 11630025000, 41000038000, 45101833000
830000, 157402149000, 110064157300, 11770025600, 41500038600, 45651833600
840000, 159429162400, 112752418300, 11910026400, 42000039400, 46201834400
850000, 161460302200, 115636730400, 12050022000, 42500035000, 46751830000
860000, 163488373000, 115913107800, 12190022800, 43000035800, 47301830800
870000, 165516453600, 116474233200, 12330025800, 43500038800, 47851833800
880000, 167548434900, 119820822700, 12470025000, 44000038000, 48401833000
890000, 169576409100, 121900925000, 12610027000, 44500040000, 48951835000
900000, 171606704000, 122897380800, 12750022600, 45000035600, 49501830600
910000, 173635058700, 123009176200, 12890027200, 45500040200, 50051835200
920000, 175664926400, 126391965000, 13030026800, 46000039800, 50601834800
930000, 177697140600, 128483987200, 13170027400, 46500040400, 51151835400
940000, 179729621600, 129910450600, 13310025800, 47000038800, 51701833800
950000, 181760401100, 129531527800, 13450024200, 47500037200, 52251832200
960000, 183792789400, 131345891000, 13590023000, 48000036000, 52801831000
970000, 185823865300, 134048797800, 13730021600, 48500034600, 53351829600
980000, 187854433300, 134724026400, 13870025800, 49000038800, 53901833800
990000, 189887253600, 138487931500, 14010024600, 49500037600, 54451832600
1000000, 191919461400, 139420020900, 14150025200, 50000038200, 55001833200
